Média	Melhor		Média	Melhor		Média	Melhor
13,755	23		13,755	23		1,884	8
15,62	27		16,17	27		2,806	8
17,34	27		18,315	27		3,782	8
19,145	28		20,78	28		4,764	9
20,945	30		22,565	31		5,586	11
22,395	32		24,5	31		6,566	13
24,22	38		26,29	36		7,438	14
26,375	34		28,695	36		8,324	14
28,245	36		30,835	37		9,298	15
29,42	37		32,675	38		10,34	16
31,345	39		33,92	39		11,224	18
32,595	40		35,78	41		12,258	19
33,725	43		37,15	44		13,32	19
34,91	42		38,485	45		14,334	21
36,045	44		39,975	47		15,208	22
37,41	44		41,395	47		16,244	23
38,405	47		42,885	49		17,08	24
39,785	46		44,37	51		17,972	25
41,13	49		45,51	52		19,064	26
41,985	50		46,69	52		20,202	26
43,31	50		47,855	53		21,102	28
44,44	52		49,005	55		22,108	29
45,715	54		50,255	55		22,852	30
46,82	54		51,285	56		23,644	30
47,725	55		52,465	56		24,538	32
49,16	57		53,335	58		25,428	33
50,5	58		54,195	58		26,224	33
51,705	61		54,855	59		27,126	33
52,975	63		55,885	60		27,95	35
54,1	64		56,91	62		28,59	35
55,325	64		57,85	62		29,28	36
56,18	63		58,72	64		29,86	36
57,295	64		59,63	64		30,33	37
58,565	65		60,49	65		30,904	38
59,72	67		61,285	67		31,464	38
60,665	66		62,175	68		32,01	41
61,4	66		63,02	68		32,812	41
62,18	67		64,045	68		33,336	41
62,89	68		64,69	68		33,748	41
63,485	71		65,375	69		34,326	41
64,4	71		65,99	69		34,63	41
65,17	72		66,72	74		35,19	42
66,085	72		67,56	74		35,766	43
66,945	74		68,015	74		36,198	43
67,66	74		69,17	75		36,734	43
68,57	75		70,065	75		37,198	43
69,33	75		71,47	77		37,702	44
70,08	76		72,485	78		38,138	44
71,045	77		73,53	78		38,68	44
71,905	77		74,3	79		39,108	45
72,605	81		75,21	79		39,396	47
73,065	81		75,925	81		39,75	47
73,9	81		76,56	81		39,974	47
74,42	80		77,845	82		40,436	47
75,055	81		78,575	84		40,788	48
75,875	82		79,455	85		41,144	48
76,165	82		80,255	86		41,224	48
76,885	83		81,26	86		41,418	48
77,745	84		82,23	87		41,934	50
78,31	84		83,065	88		42,228	50
79,195	87		83,815	90		42,584	50
80	88		84,66	90		42,824	50
81,085	88		85,09	91		42,984	50
81,645	92		86,025	93		43,6	51
82,705	91		87,235	93		44,2	51
83,555	93		88,11	95		44,604	51
84,285	92		89,16	95		44,91	52
85,34	91		90,095	95		45,37	53
86,01	91		91,245	96		45,914	53
86,685	92		92,025	97		46,316	53
87,03	95		92,665	99		46,554	54
87,73	95		93,895	100		46,54	54
88,395	94		94,725	100		47,004	54
88,725	95		95,625	101		47,182	55
89,215	96		96,53	101		47,324	55
89,625	96		97,315	102		47,696	55
90,21	97		97,7	103		47,99	55
90,67	97		98,475	103		48,012	55
91,09	97		99,14	103		48,266	55
91,575	99		99,505	104		48,47	55
92,145	99		100,43	106		48,766	55
92,82	98		100,845	106		48,764	55
93,22	99		101,23	106		48,964	56
93,86	100		101,955	106		49,138	56
94,59	101		102,55	106		49,356	56
95,105	101		103,09	108		49,508	56
95,575	101		103,54	109		49,77	56
96,08	103		103,935	109		49,852	56
96,88	104		104,425	111		49,958	57
97,545	106		105,06	111		50,092	57
98,46	106		105,81	114		50,284	57
99,01	108		106,46	114		50,414	57
100,02	108		107,4	115		50,378	57
100,95	107		108,565	117		50,404	57
101,575	110		109,845	119		50,414	59
102,18	111		110,86	119		50,284	59
102,985	111		111,73	119		50,592	59
104,23	113		112,765	119		50,806	59
105,02	114		113,885	120		51,014	59
105,26	113		114,895	120		51,232	59
105,87	113		116,055	121		51,39	59
106,65	114		116,605	122		51,466	59
107,33	115		117,17	122		51,826	60
107,985	116		117,835	123		52,112	60
108,74	116		118,41	123		52,466	60
109,405	116		118,78	125		52,61	60
110,04	117		119,31	125		52,996	60
110,525	118		120,185	126		53,102	60
110,98	118		121,01	127		53,034	60
111,39	118		121,44	127		53,286	60
111,7	118		121,58	127		53,56	61
112,045	118		122,17	127		53,856	61
112,44	119		122,9	128		53,912	61
112,73	120		123,355	128		54,26	61
113,245	119		123,83	128		54,51	61
113,8	119		124,35	128		54,708	61
113,885	120		125,06	129		54,51	61
114,235	120		125,32	129		54,506	63
114,51	121		125,515	130		54,664	63
115,135	121		125,8	130		54,846	63
115,45	122		126,18	131		55,088	63
115,725	123		126,475	131		55,07	63
116,165	123		126,665	131		55,36	63
116,735	124		127,265	132		55,39	63
117,065	125		127,6	132		55,424	63
117,11	124		127,96	133		55,624	63
117,745	124		128,355	133		55,57	63
118,07	124		128,575	133		55,528	63
118,67	126		129,325	134		55,67	63
119,085	126		129,525	134		56,082	63
119,685	126		129,815	136		55,956	63
120,025	127		130,175	136		55,862	63
120,175	129		131,185	136		55,846	63
120,505	128		131,495	136		56,176	63
120,925	129		131,805	137		56,042	63
121,52	130		132,115	137		55,988	63
122,55	133		132,715	138		56,002	63
123,13	133		133,23	138		56,178	63
124,155	137		133,725	140		56,35	63
125,145	134		134,015	140		56,406	63
125,7	133		134,795	141		56,65	63
126,38	133		135,36	141		56,916	63
126,675	132		136,135	141		57,042	63
126,86	134		136,775	142		56,952	64
127,38	135		137,24	143		56,8	64
127,6	133		137,66	143		57,028	64
127,85	134		138,05	143		57,21	64
127,77	134		138,315	144		57,33	64
128,205	135		138,69	144		57,306	64
128,855	137		139,03	146		57,54	64
129,405	136		139,585	146		57,428	64
130,035	137		140,39	146		57,446	64
130,17	139		140,82	147		57,376	64
130,82	140		141,66	148		57,762	64
131,385	139		142,345	149		57,77	64
132,06	141		143,14	149		57,646	64
132,71	142		143,78	149		57,554	64
133,135	141		144,395	150		57,488	64
133,645	141		144,64	150		57,376	64
134,12	142		145,07	150		57,58	64
134,335	142		145,575	150		57,734	64
134,79	142		145,81	151		57,746	64
135,39	145		146,005	151		57,922	64
135,855	144		146,12	151		57,796	65
136,31	143		146,33	151		58,062	65
136,735	144		146,675	151		57,972	65
136,825	145		147,365	151		58,01	65
137,04	144		147,74	151		58,044	65
137,395	146		147,925	152		58,092	65
137,495	143		147,97	152		58,146	65
137,54	145		148,335	153		58,144	65
137,655	145		148,49	153		58,588	65
138,005	144		149,04	154		58,524	65
137,98	144		149,44	154		58,476	65
138,13	145		149,7	154		58,374	65
138,59	147		150,105	155		58,264	65
139,075	146		150,365	155		58,57	65
139,515	149		150,655	155		58,382	65
140,415	150		151,1	157		58,31	65
141,21	151		151,52	157		58,464	65
142,255	153		152,225	158		58,326	65
142,925	150		152,875	158		58,412	65
143,415	150		153,37	158		58,574	65
143,555	152		153,755	158		58,846	65
143,775	152		153,92	158		58,772	65
143,775	150		154,195	159		58,768	65
143,975	150		154,47	159		58,782	65
144,33	151		154,785	159		58,72	66
144,44	151		154,95	159		58,666	66
144,575	152		155,215	160		58,924	66
144,51	150		155,545	161		59,146	66
144,7	151		155,805	161		59,466	66
144,62	151		155,98	161		59,394	66
144,715	152		156,385	161		59,518	66
144,77	151		156,855	162		59,746	66
144,815	151		157,3	162		59,49	66
144,85	151		157,725	162		59,452	66
144,835	151		158,055	163		59,542	66
144,78	153		158,67	163		59,404	66
144,865	153		158,96	164		59,408	66
144,915	152		159,37	166		59,062	66
145,425	153		159,625	166		59,35	66
145,735	156		159,765	166		59,53	66
145,725	155		160,14	167		59,45	66
146,06	155		160,525	167		59,786	66
146,11	154		161,19	167		59,776	66
146,455	155		161,41	167		59,622	66
